15):
2012-11-11 21:14:21,2012-11-12 00:21:49,relaxing on couch  
2012-11-12 00:22:57,2012-11-12 00:22:59,leaving home  
2012-11-12 00:23:14,2012-11-12 00:23:17,leaving home  
2012-11-12 00:24:20,2012-11-12 00:24:22,leaving home  
2012-11-12 00:24:42,2012-11-12 00:24:54,leaving home  
2012-11-12 00:25:35,2012-11-12 00:42:56,relaxing on couch  
2012-11-12 00:43:46,2012-11-12 00:43:49,leaving home  
2012-11-12 00:46:12,2012-11-12 00:46:15,leaving home  
2012-11-12 00:47:21,2012-11-12 00:47:24,leaving home  
2012-11-12 00:48:38,2012-11-12 00:50:12,personal care  
2012-11-12 00:50:29,2012-11-12 00:50:32,leaving home  
2012-11-12 00:51:18,2012-11-12 01:52:12,relaxing on couch  
2012-11-12 01:53:19,2012-11-12 01:53:22,leaving home  
2012-11-12 01:53:27,2012-11-12 01:53:35,personal care  
2012-11-12 01:53:39,2012-11-12 01:54:27,personal care

30):
2012-11-12 01:55:09,2012-11-12 09:30:35,sleeping
2012-11-12 09:37:28,2012-11-12 09:38:45,personal care
2012-11-12 09:40:17,2012-11-12 09:40:22,leaving home
2012-11-12 09:47:57,2012-11-12 09:50:02,preparing breakfast
2012-11-12 09:57:36,2012-11-12 10:14:50,relaxing on couch

45):
2012-11-12 10:18:19,2012-11-12 10:20:15,personal care
2012-11-12 10:21:39,2012-11-12 10:29:45,showering
2012-11-12 10:35:14,2012-11-12 10:40:01,personal care

60):
2012-11-12 10:42:05,2012-11-12 10:42:07,personal care
2012-11-12 10:47:17,2012-11-12 10:47:24,leaving home
2012-11-12 11:04:53,2012-11-12 11:04:56,leaving home
2012-11-12 11:05:44,2012-11-12 11:05:47,leaving home
2012-11-12 11:06:11,2012-11-12 11:06:34,preparing breakfast
2012-11-12 11:09:44,2012-11-12 11:10:42,preparing breakfast
2012-11-12 11:20:40,2012-11-12 11:20:45,leaving home
2012-11-12 11:21:26,2012-11-12 11:21:30,leaving home
2012-11-12 11:23:34,2012-11-12 11:23:37,leaving home
2012-11-12 11:24:12,2012-11-12 11:24:17,leaving home
2012-11-12 11:32:27,2012-11-12 11:32:29,leaving home
2012-11-12 11:32:39,2012-11-12 11:32:41,leaving home
2012-11-12 11:33:15,2012-11-12 11:33:17,leaving home
2012-11-12 11:34:08,2012-11-12 11:34:10,leaving home
2012-11-12 11:34:45,2012-11-12 11:34:52,leaving home

75):
2012-11-12 11:37:49,2012-11-12 11:40:06,preparing breakfast
2012-11-12 11:40:06,2012-11-12 11:47:09,relaxing on couch
2012-11-12 11:47:09,2012-11-12 11:47:48,leaving home
2012-11-12 11:47:48,2012-11-12 12:01:50,relaxing on couch
2012-11-12 12:01:50,2012-11-12 12:02:09,leaving home
2012-11-12 12:02:09,2012-11-12 12:22:30,sleeping
2012-11-12 12:22:30,2012-11-12 12:23:48,relaxing on couch
2012-11-12 12:23:48,2012-11-12 12:37:03,preparing lunch
2012-11-12 12:37:03,2012-11-12 12:39:42,personal care
2012-11-12 12:39:42,2012-11-12 12:42:39,personal care
2012-11-12 12:42:39,2012-11-12 12:49:23,relaxing on couch

90):
2012-11-12 12:52:58,2012-11-12 12:55:12,showering
2012-11-12 13:00:02,2012-11-12 13:07:11,personal care
2012-11-12 13:12:47,2012-11-12 13:18:24,personal care
2012-11-12 13:52:31,2012-11-12 13:55:39,preparing lunch

105):
2012-11-12 14:39:01,2012-11-12 14:39:21,preparing lunch
2012-11-12 14:48:44,2012-11-12 14:49:33,leaving home
2012-11-12 14:51:33,2012-11-12 14:53:14,preparing lunch
2012-11-12 15:22:47,2012-11-12 15:23:02,leaving home
