2011-11-28 02:27:59,2011-11-28 10:18:11,Sleeping  
2011-11-28 10:21:24,2011-11-28 10:21:31,Personal Care  
2011-11-28 10:21:44,2011-11-28 10:25:44,Showering  
2011-11-28 10:25:44,2011-11-28 10:32:06,Showering  
2011-11-28 10:34:23,2011-11-28 10:34:41,Preparing Breakfast  
2011-11-28 10:34:44,2011-11-28 10:37:17,Preparing Breakfast  
2011-11-28 10:38:00,2011-11-28 10:42:41,Preparing Breakfast  
2011-11-28 10:41:43,2011-11-28 10:42:55,Preparing Breakfast  
2011-11-28 10:49:48,2011-11-28 10:51:13,Personal Care  
2011-11-28 10:51:41,2011-11-28 13:05:07,Relaxing on Couch  
2011-11-28 13:06:04,2011-11-28 13:06:06,Personal Care

2011-11-28 13:06:07,2011-11-28 13:06:31,personal care  
2011-11-28 13:09:31,2011-11-28 13:09:35,leaving home  
2011-11-28 13:28:59,2011-11-28 13:29:09,leaving home  
2011-11-28 13:33:32,2011-11-28 13:38:23,preparing lunch  
2011-11-28 13:38:40,2011-11-28 14:21:40,relaxing on couch  
2011-11-28 14:26:38,2011-11-28 14:27:07,personal care  
2011-11-28 14:27:11,2011-11-28 14:28:46,preparing lunch  
2011-11-28 14:28:48,2011-11-28 14:28:55,preparing lunch  
2011-11-28 14:31:06,2011-11-28 14:41:54,preparing dinner  
2011-11-28 14:31:44,2011-11-28 14:31:56,preparing lunch  
2011-11-28 14:35:22,2011-11-28 14:35:27,preparing lunch  
2011-11-28 15:04:59,2011-11-28 15:06:29,personal care  
2011-11-28 15:07:01,2011-11-28 16:09:57,relaxing on couch  
2011-11-28 16:10:05,2011-11-28 16:10:05,personal care  
2011-11-28 16:10:38,2011-11-28 20:19:27,relaxing on couch

2011-11-28 20:21:15,2011-11-29 02:06:51,relaxing on couch  
2011-11-29 02:16:05,2011-11-29 11:31:04,sleeping  
2011-11-29 11:37:16,2011-11-29 11:37:27,personal care  
2011-11-29 11:37:38,2011-11-29 11:48:29,personal care  
2011-11-29 11:49:57,2011-11-29 11:51:13,showering  
2011-11-29 12:08:28,2011-11-29 12:09:21,preparing breakfast  
2011-11-29 12:09:09,2011-11-29 12:13:02,preparing breakfast  
2011-11-29 12:09:24,2011-11-29 12:09:37,preparing breakfast  
2011-11-29 12:09:42,2011-11-29 12:10:37,preparing breakfast  
2011-11-29 12:19:24,2011-11-29 12:21:11,personal care  
2011-11-29 12:21:56,2011-11-29 12:21:58,personal care

2011-11-29 12:22:38,2011-11-29 13:25:15,relaxing on couch  
2011-11-29 13:25:29,2011-11-29 13:25:32,preparing lunch  
2011-11-29 13:25:38,2011-11-29 15:12:26,relaxing on couch  
2011-11-29 15:13:28,2011-11-29 15:13:57,personal care  
2011-11-29 15:13:32,2011-11-29 15:13:34,personal care  
2011-11-29 15:14:33,2011-11-29 15:15:09,preparing lunch  
2011-11-29 15:15:14,2011-11-29 15:36:26,preparing dinner  
2011-11-29 15:15:17,2011-11-29 15:22:57,preparing lunch  
2011-11-29 15:52:04,2011-11-29 16:17:58,relaxing on couch

2011-11-29 16:34:17,2011-11-29 17:08:07,relaxing on couch  
2011-11-29 17:08:58,2011-11-29 17:09:29,personal care  
2011-11-29 17:09:09,2011-11-29 18:57:22,relaxing on couch  
2011-11-29 19:02:15,2011-11-29 19:02:21,leaving home  
2011-11-29 20:23:32,2011-11-29 20:23:38,leaving home  
2011-11-29 20:28:08,2011-11-30 01:19:47,relaxing on couch  
2011-11-30 01:22:33,2011-11-30 10:07:31,sleeping  
2011-11-30 10:14:07,2011-11-30 10:14:34,personal care  
2011-11-30 10:14:45,2011-11-30 10:18:33,showering  
2011-11-30 10:23:02,2011-11-30 10:23:17,preparing breakfast  
2011-11-30 10:23:21,2011-11-30 10:23:36,preparing breakfast  
2011-11-30 10:23:46,2011-11-30 10:28:38,preparing breakfast

2011-11-30 10:39:30,2011-11-30 10:41:13,showering  
2011-11-30 10:41:38,2011-11-30 13:05:01,relaxing on couch  
2011-11-30 13:05:27,2011-11-30 13:05:31,snacking  
2011-11-30 13:05:38,2011-11-30 14:09:34,relaxing on couch  
2011-11-30 14:11:16,2011-11-30 14:11:48,personal care  
2011-11-30 14:13:45,2011-11-30 14:34:09,relaxing on couch  
2011-11-30 14:39:42,2011-11-30 14:55:24,preparing lunch  
2011-11-30 15:11:48,2011-11-30 16:39:11,relaxing on couch  
2011-11-30 16:40:00,2011-11-30 16:40:24,personal care

2011-11-30 16:40:04,2011-11-30 16:40:09,Bathing  
2011-11-30 16:41:05,2011-11-30 16:41:09,Preparing Lunch  
2011-11-30 16:41:15,2011-11-30 18:00:38,Relaxing on Couch  
2011-11-30 18:01:44,2011-11-30 18:01:47,Bathing  
2011-11-30 18:01:46,2011-11-30 18:02:11,Personal Care  
2011-11-30 18:01:54,2011-11-30 18:43:20,Relaxing on Couch  
2011-11-30 18:57:08,2011-11-30 18:57:34,Personal Care  
2011-11-30 18:57:39,2011-11-30 19:37:10,Relaxing on Couch  
2011-11-30 19:37:36,2011-11-30 19:38:01,Personal Care  
2011-11-30 19:37:40,2011-11-30 19:37:46,Bathing  
2011-11-30 19:46:44,2011-11-30 19:46:49,Leaving Home  
2011-11-30 20:05:07,2011-11-30 20:05:12,Leaving Home  
